question_id,scene_id,image_path,question_type,question,choice_a,choice_b,choice_c,choice_d,answer_label,difficulty,visibility,layout_family,ood_axis,trace_target_zone,trace_clog_location,trace_gate_state,trace_bubble_position,trace_satellite_side,trace_fluorescent_count
raw_q_5e9f1e246f5000,raw_mf_00004,images/raw_mf_00004.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,B,medium,crowded,standard,dim_fluorescence,center,inlet,junction,upper,downstream,0
raw_q_a703c35bdb17be,raw_mf_00005,images/raw_mf_00005.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,C,medium,noisy,wide,standard,inlet,none,upper,lower,both,1
raw_q_d47f8a5ca8bd57,raw_mf_00005,images/raw_mf_00005.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,medium,noisy,wide,standard,inlet,none,upper,lower,both,1
raw_q_a0d239ca9f3023,raw_mf_00005,images/raw_mf_00005.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,D,medium,noisy,wide,standard,inlet,none,upper,lower,both,1
raw_q_f476af9cb6d9b7,raw_mf_00006,images/raw_mf_00006.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,easy,clear,standard,standard,lower,lower,upper,none,downstream,3
raw_q_f7694700001a69,raw_mf_00006,images/raw_mf_00006.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,D,easy,clear,standard,standard,lower,lower,upper,none,downstream,3
raw_q_1b1e4bf010359c,raw_mf_00006,images/raw_mf_00006.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,easy,clear,standard,standard,lower,lower,upper,none,downstream,3
raw_q_6525313d956826,raw_mf_00007,images/raw_mf_00007.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,B,medium,crowded,compact,dim_fluorescence,upper,inlet,inlet,upper,not_visible,2
raw_q_86caa8261b8311,raw_mf_00007,images/raw_mf_00007.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,C,medium,crowded,compact,dim_fluorescence,upper,inlet,inlet,upper,not_visible,2
raw_q_2e5833564a5f6c,raw_mf_00007,images/raw_mf_00007.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,A,medium,crowded,compact,dim_fluorescence,upper,inlet,inlet,upper,not_visible,2
raw_q_3f6d47ee208b05,raw_mf_00008,images/raw_mf_00008.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,B,medium,crowded,wide,dim_fluorescence,center,inlet,inlet,none,downstream,4
raw_q_cba5fe7de1033d,raw_mf_00008,images/raw_mf_00008.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,medium,crowded,wide,dim_fluorescence,center,inlet,inlet,none,downstream,4
raw_q_be27106ac67bac,raw_mf_00008,images/raw_mf_00008.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,medium,crowded,wide,dim_fluorescence,center,inlet,inlet,none,downstream,4
raw_q_3be3c958bbf5ad,raw_mf_00009,images/raw_mf_00009.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,B,medium,clear,wide,standard,center,junction,lower,none,downstream,0
raw_q_0dfb29c87c34c6,raw_mf_00009,images/raw_mf_00009.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,B,medium,clear,wide,standard,center,junction,lower,none,downstream,0
raw_q_58e9d7ac66bfc6,raw_mf_00009,images/raw_mf_00009.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,medium,clear,wide,standard,center,junction,lower,none,downstream,0
raw_q_a0140506388ec1,raw_mf_00010,images/raw_mf_00010.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,medium,noisy,standard,dim_fluorescence,upper,junction,lower,none,downstream,0
raw_q_ad185bbd7ab501,raw_mf_00010,images/raw_mf_00010.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,A,medium,noisy,standard,dim_fluorescence,upper,junction,lower,none,downstream,0
raw_q_ef05b8837c45e0,raw_mf_00010,images/raw_mf_00010.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,C,medium,noisy,standard,dim_fluorescence,upper,junction,lower,none,downstream,0
raw_q_0ab89d99716640,raw_mf_00011,images/raw_mf_00011.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,A,easy,clear,compact,partial_occlusion,center,none,lower,none,upstream,0
raw_q_9fb3b77eb791cb,raw_mf_00011,images/raw_mf_00011.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,A,easy,clear,compact,partial_occlusion,center,none,lower,none,upstream,0
raw_q_358d8d1ac83884,raw_mf_00011,images/raw_mf_00011.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,easy,clear,compact,partial_occlusion,center,none,lower,none,upstream,0
raw_q_097059384163ef,raw_mf_00012,images/raw_mf_00012.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,medium,noisy,compact,dim_fluorescence,upper,junction,junction,junction,downstream,0
raw_q_d17ab1701b162a,raw_mf_00012,images/raw_mf_00012.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,A,medium,noisy,compact,dim_fluorescence,upper,junction,junction,junction,downstream,0
raw_q_f6858dc3f6c03f,raw_mf_00012,images/raw_mf_00012.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,A,medium,noisy,compact,dim_fluorescence,upper,junction,junction,junction,downstream,0
raw_q_d4723a51141b1c,raw_mf_00013,images/raw_mf_00013.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,medium,crowded,compact,partial_occlusion,center,none,inlet,none,not_visible,4
raw_q_c9ffd96022f20e,raw_mf_00013,images/raw_mf_00013.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,medium,crowded,compact,partial_occlusion,center,none,inlet,none,not_visible,4
raw_q_7d7794482b01d9,raw_mf_00013,images/raw_mf_00013.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,medium,crowded,compact,partial_occlusion,center,none,inlet,none,not_visible,4
raw_q_1a2a649a410ffd,raw_mf_00014,images/raw_mf_00014.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,A,hard,noisy,wide,dim_fluorescence,upper,none,junction,lower,downstream,2
raw_q_3ce4a07cd177b0,raw_mf_00014,images/raw_mf_00014.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,hard,noisy,wide,dim_fluorescence,upper,none,junction,lower,downstream,2
raw_q_3926cb16f5a6fa,raw_mf_00014,images/raw_mf_00014.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,hard,noisy,wide,dim_fluorescence,upper,none,junction,lower,downstream,2
raw_q_665b5666b88f9b,raw_mf_00015,images/raw_mf_00015.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,medium,clear,standard,dense_debris,center,none,upper,upper,both,2
raw_q_27216956e864e1,raw_mf_00015,images/raw_mf_00015.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,B,medium,clear,standard,dense_debris,center,none,upper,upper,both,2
raw_q_97acc68fb6293b,raw_mf_00015,images/raw_mf_00015.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,medium,clear,standard,dense_debris,center,none,upper,upper,both,2
raw_q_16550365978133,raw_mf_00016,images/raw_mf_00016.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,easy,clear,standard,dense_debris,inlet,inlet,upper,none,downstream,2
raw_q_36a6cd840a4dd3,raw_mf_00016,images/raw_mf_00016.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,easy,clear,standard,dense_debris,inlet,inlet,upper,none,downstream,2
raw_q_eaeaba2334b452,raw_mf_00016,images/raw_mf_00016.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,B,easy,clear,standard,dense_debris,inlet,inlet,upper,none,downstream,2
raw_q_459c0433d80212,raw_mf_00017,images/raw_mf_00017.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,hard,crowded,compact,dim_fluorescence,lower,lower,lower,none,upstream,1
raw_q_7b5575d06f9042,raw_mf_00017,images/raw_mf_00017.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,D,hard,crowded,compact,dim_fluorescence,lower,lower,lower,none,upstream,1
raw_q_b0f227ceb5b8e1,raw_mf_00017,images/raw_mf_00017.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,hard,crowded,compact,dim_fluorescence,lower,lower,lower,none,upstream,1
raw_q_df2bbe8efd8a59,raw_mf_00018,images/raw_mf_00018.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,D,hard,low_contrast,standard,dim_fluorescence,inlet,none,upper,lower,downstream,1
raw_q_c4b945fbe95dcb,raw_mf_00018,images/raw_mf_00018.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,hard,low_contrast,standard,dim_fluorescence,inlet,none,upper,lower,downstream,1
raw_q_83641ec0c39cb5,raw_mf_00018,images/raw_mf_00018.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,hard,low_contrast,standard,dim_fluorescence,inlet,none,upper,lower,downstream,1
raw_q_42a9e10d5e6919,raw_mf_00019,images/raw_mf_00019.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,A,easy,clear,wide,standard,upper,inlet,upper,none,not_visible,3
raw_q_cc3552bd87fc65,raw_mf_00019,images/raw_mf_00019.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,B,easy,clear,wide,standard,upper,inlet,upper,none,not_visible,3
raw_q_d0bcfd41a8fc2e,raw_mf_00019,images/raw_mf_00019.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,easy,clear,wide,standard,upper,inlet,upper,none,not_visible,3
raw_q_2ceb8649a81fbc,raw_mf_00020,images/raw_mf_00020.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,A,medium,clear,standard,standard,lower,junction,junction,lower,upstream,3
raw_q_3c7092f82b85a8,raw_mf_00020,images/raw_mf_00020.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,C,medium,clear,standard,standard,lower,junction,junction,lower,upstream,3
raw_q_844cba2653b5eb,raw_mf_00020,images/raw_mf_00020.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,medium,clear,standard,standard,lower,junction,junction,lower,upstream,3
raw_q_c64ff6b7eb1d39,raw_mf_00021,images/raw_mf_00021.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,D,hard,low_contrast,standard,standard,inlet,lower,lower,upper,not_visible,0
raw_q_76d4af5d7d23d7,raw_mf_00021,images/raw_mf_00021.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,C,hard,low_contrast,standard,standard,inlet,lower,lower,upper,not_visible,0
raw_q_8c95f0993a691d,raw_mf_00021,images/raw_mf_00021.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,D,hard,low_contrast,standard,standard,inlet,lower,lower,upper,not_visible,0
raw_q_4f1ad60d8aaebe,raw_mf_00022,images/raw_mf_00022.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,D,medium,low_contrast,standard,standard,lower,inlet,lower,none,not_visible,2
raw_q_586cfb609d3951,raw_mf_00022,images/raw_mf_00022.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,medium,low_contrast,standard,standard,lower,inlet,lower,none,not_visible,2
raw_q_72a73b863aefdc,raw_mf_00022,images/raw_mf_00022.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,medium,low_contrast,standard,standard,lower,inlet,lower,none,not_visible,2
raw_q_f7de832ac91a44,raw_mf_00023,images/raw_mf_00023.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,medium,clear,compact,standard,center,none,upper,junction,downstream,3
raw_q_e1d84cb8eaa93a,raw_mf_00023,images/raw_mf_00023.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,B,medium,clear,compact,standard,center,none,upper,junction,downstream,3
raw_q_206837a632b41c,raw_mf_00023,images/raw_mf_00023.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,B,medium,clear,compact,standard,center,none,upper,junction,downstream,3
raw_q_900bb6cb15944d,raw_mf_00024,images/raw_mf_00024.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,C,medium,clear,standard,dim_fluorescence,center,junction,upper,none,not_visible,0
raw_q_f3dbf1e8a56ead,raw_mf_00024,images/raw_mf_00024.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,A,medium,clear,standard,dim_fluorescence,center,junction,upper,none,not_visible,0
raw_q_c00eb8ccc5ff7c,raw_mf_00024,images/raw_mf_00024.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,medium,clear,standard,dim_fluorescence,center,junction,upper,none,not_visible,0
raw_q_0afe1b1c521530,raw_mf_00025,images/raw_mf_00025.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,hard,low_contrast,wide,standard,lower,lower,junction,none,not_visible,2
raw_q_b887a765c45d7c,raw_mf_00025,images/raw_mf_00025.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,hard,low_contrast,wide,standard,lower,lower,junction,none,not_visible,2
raw_q_bc492774697e2a,raw_mf_00025,images/raw_mf_00025.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,hard,low_contrast,wide,standard,lower,lower,junction,none,not_visible,2
raw_q_64fde3c3b1b9ce,raw_mf_00026,images/raw_mf_00026.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,easy,clear,wide,dense_debris,lower,none,junction,none,not_visible,3
raw_q_802dd06007d7ed,raw_mf_00026,images/raw_mf_00026.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,easy,clear,wide,dense_debris,lower,none,junction,none,not_visible,3
raw_q_0373045a7e2792,raw_mf_00026,images/raw_mf_00026.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,easy,clear,wide,dense_debris,lower,none,junction,none,not_visible,3
raw_q_448c9f9c2970db,raw_mf_00027,images/raw_mf_00027.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,D,hard,low_contrast,standard,dim_fluorescence,inlet,junction,lower,junction,both,2
raw_q_f0c0e5234694bf,raw_mf_00027,images/raw_mf_00027.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,D,hard,low_contrast,standard,dim_fluorescence,inlet,junction,lower,junction,both,2
raw_q_ef9b7f48475850,raw_mf_00027,images/raw_mf_00027.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,C,hard,low_contrast,standard,dim_fluorescence,inlet,junction,lower,junction,both,2
raw_q_ab24140142c171,raw_mf_00028,images/raw_mf_00028.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,easy,clear,standard,standard,lower,none,upper,none,both,2
raw_q_e1c653605deb46,raw_mf_00028,images/raw_mf_00028.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,easy,clear,standard,standard,lower,none,upper,none,both,2
raw_q_a7c4847932364c,raw_mf_00028,images/raw_mf_00028.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,easy,clear,standard,standard,lower,none,upper,none,both,2
raw_q_8dfc36705f5b18,raw_mf_00029,images/raw_mf_00029.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,easy,clear,compact,standard,center,lower,junction,lower,not_visible,2
raw_q_be740b6c3c9384,raw_mf_00029,images/raw_mf_00029.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,easy,clear,compact,standard,center,lower,junction,lower,not_visible,2
raw_q_ab17d9c56a806a,raw_mf_00029,images/raw_mf_00029.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,easy,clear,compact,standard,center,lower,junction,lower,not_visible,2
raw_q_2d65f0c96c6e4b,raw_mf_00030,images/raw_mf_00030.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,easy,clear,wide,standard,center,lower,lower,lower,upstream,2
raw_q_7fb3c918d45055,raw_mf_00030,images/raw_mf_00030.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,easy,clear,wide,standard,center,lower,lower,lower,upstream,2
raw_q_25156d15b5ede8,raw_mf_00030,images/raw_mf_00030.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,B,easy,clear,wide,standard,center,lower,lower,lower,upstream,2
raw_q_8715d778bd5fe9,raw_mf_00031,images/raw_mf_00031.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,easy,clear,standard,standard,upper,inlet,junction,none,not_visible,3
raw_q_9ce9940786adc3,raw_mf_00031,images/raw_mf_00031.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,easy,clear,standard,standard,upper,inlet,junction,none,not_visible,3
raw_q_e971b7e6788c8e,raw_mf_00031,images/raw_mf_00031.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,easy,clear,standard,standard,upper,inlet,junction,none,not_visible,3
raw_q_833eebfe67c57f,raw_mf_00032,images/raw_mf_00032.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,medium,noisy,standard,standard,lower,none,upper,none,downstream,0
raw_q_788bec527d91a6,raw_mf_00032,images/raw_mf_00032.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,A,medium,noisy,standard,standard,lower,none,upper,none,downstream,0
raw_q_cb174e8e40af86,raw_mf_00032,images/raw_mf_00032.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,medium,noisy,standard,standard,lower,none,upper,none,downstream,0
raw_q_c64b1200e591ec,raw_mf_00033,images/raw_mf_00033.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,B,hard,noisy,standard,partial_occlusion,center,lower,inlet,none,both,3
raw_q_3d0bc6468d6c85,raw_mf_00033,images/raw_mf_00033.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,hard,noisy,standard,partial_occlusion,center,lower,inlet,none,both,3
raw_q_bd3a723a72a429,raw_mf_00033,images/raw_mf_00033.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,hard,noisy,standard,partial_occlusion,center,lower,inlet,none,both,3
raw_q_64400f6689e22b,raw_mf_00034,images/raw_mf_00034.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,D,easy,noisy,standard,standard,lower,junction,lower,lower,upstream,4
raw_q_d920d83ab18957,raw_mf_00034,images/raw_mf_00034.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,easy,noisy,standard,standard,lower,junction,lower,lower,upstream,4
raw_q_7ba2285e826834,raw_mf_00034,images/raw_mf_00034.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,easy,noisy,standard,standard,lower,junction,lower,lower,upstream,4
raw_q_1f330b5f076afd,raw_mf_00035,images/raw_mf_00035.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,easy,clear,wide,partial_occlusion,upper,none,upper,lower,not_visible,2
raw_q_a8bb6ebc33c4c3,raw_mf_00035,images/raw_mf_00035.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,easy,clear,wide,partial_occlusion,upper,none,upper,lower,not_visible,2
raw_q_8f347d9f3fbf79,raw_mf_00035,images/raw_mf_00035.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,C,easy,clear,wide,partial_occlusion,upper,none,upper,lower,not_visible,2
raw_q_c6e57f47ef190d,raw_mf_00036,images/raw_mf_00036.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,hard,crowded,compact,dim_fluorescence,lower,none,upper,none,both,2
raw_q_6c247304b4a3ca,raw_mf_00036,images/raw_mf_00036.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,hard,crowded,compact,dim_fluorescence,lower,none,upper,none,both,2
raw_q_263d5ef5df67e8,raw_mf_00036,images/raw_mf_00036.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,hard,crowded,compact,dim_fluorescence,lower,none,upper,none,both,2
raw_q_8e941912a1be6b,raw_mf_00037,images/raw_mf_00037.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,medium,low_contrast,standard,standard,upper,none,upper,junction,upstream,3
raw_q_2bd8f44f30020b,raw_mf_00037,images/raw_mf_00037.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,medium,low_contrast,standard,standard,upper,none,upper,junction,upstream,3
raw_q_a5c693c1ea73f9,raw_mf_00037,images/raw_mf_00037.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,A,medium,low_contrast,standard,standard,upper,none,upper,junction,upstream,3
raw_q_04ad67c3a7bac7,raw_mf_00038,images/raw_mf_00038.png,satellite_side,Where are the small satellite droplets relative to the target droplet?,upstream of target,downstream of target,both sides,not visible,D,easy,clear,wide,standard,center,junction,lower,upper,not_visible,3
raw_q_b9b103fd6d3b25,raw_mf_00038,images/raw_mf_00038.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,C,easy,clear,wide,standard,center,junction,lower,upper,not_visible,3
raw_q_3eff189732715a,raw_mf_00038,images/raw_mf_00038.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,easy,clear,wide,standard,center,junction,lower,upper,not_visible,3
